Date,Weather Condition,Accident Count
1/1/2024,Partially cloudy,28
1/2/2024,"Rain, Partially cloudy",39
1/3/2024,"Rain, Partially cloudy",29
1/4/2024,"Rain, Partially cloudy",44
1/5/2024,"Rain, Partially cloudy",36
1/6/2024,Partially cloudy,41
1/7/2024,"Rain, Partially cloudy",18
1/8/2024,"Rain, Partially cloudy",32
1/9/2024,"Rain, Overcast",25
1/10/2024,"Rain, Partially cloudy",26
1/11/2024,"Rain, Partially cloudy",37
1/12/2024,"Rain, Partially cloudy",45
1/13/2024,"Snow, Rain, Partially cloudy",22
1/14/2024,Partially cloudy,32
1/15/2024,Partially cloudy,36
1/16/2024,"Rain, Partially cloudy",34
1/17/2024,"Rain, Partially cloudy",38
1/18/2024,"Rain, Partially cloudy",28
1/19/2024,"Rain, Partially cloudy",35
1/20/2024,"Rain, Partially cloudy",14
1/21/2024,"Rain, Partially cloudy",23
1/22/2024,"Rain, Partially cloudy",36
1/23/2024,Partially cloudy,32
1/24/2024,"Rain, Partially cloudy",31
1/25/2024,"Rain, Partially cloudy",33
1/26/2024,"Rain, Partially cloudy",35
1/27/2024,"Rain, Partially cloudy",20
1/28/2024,"Rain, Partially cloudy",20
1/29/2024,"Rain, Partially cloudy",42
1/30/2024,"Rain, Partially cloudy",34
1/31/2024,"Rain, Partially cloudy",34
2/1/2024,"Rain, Partially cloudy",40
2/2/2024,Partially cloudy,39
2/3/2024,"Rain, Partially cloudy",26
2/4/2024,Partially cloudy,23
2/5/2024,Partially cloudy,29
2/6/2024,Clear,39
2/7/2024,Partially cloudy,33
2/8/2024,Partially cloudy,41
2/9/2024,Clear,38
2/10/2024,Partially cloudy,34
2/11/2024,Partially cloudy,21
2/12/2024,"Rain, Partially cloudy",40
2/13/2024,"Rain, Partially cloudy",42
2/14/2024,"Rain, Partially cloudy",41
2/15/2024,"Rain, Overcast",40
2/16/2024,"Rain, Overcast",27
2/17/2024,"Rain, Overcast",25
2/18/2024,"Rain, Partially cloudy",16
2/19/2024,Overcast,38
2/20/2024,Partially cloudy,48
2/21/2024,Partially cloudy,41
2/22/2024,Clear,39
2/23/2024,Partially cloudy,36
2/24/2024,Partially cloudy,34
2/25/2024,Partially cloudy,25
2/26/2024,Partially cloudy,41
2/27/2024,Partially cloudy,54
2/28/2024,Partially cloudy,40
2/29/2024,Partially cloudy,42
3/1/2024,Partially cloudy,47
3/2/2024,Partially cloudy,25
3/3/2024,Partially cloudy,30
3/4/2024,Partially cloudy,30
3/5/2024,"Rain, Partially cloudy",40
3/6/2024,"Rain, Partially cloudy",41
3/7/2024,"Rain, Partially cloudy",45
3/8/2024,"Rain, Partially cloudy",32
3/9/2024,"Rain, Partially cloudy",31
3/10/2024,"Rain, Partially cloudy",37
3/11/2024,Partially cloudy,41
3/12/2024,"Rain, Partially cloudy",34
3/13/2024,"Rain, Partially cloudy",44
3/14/2024,"Rain, Partially cloudy",43
3/15/2024,"Rain, Partially cloudy",36
3/16/2024,Partially cloudy,21
3/17/2024,Partially cloudy,26
3/18/2024,Clear,31
3/19/2024,Partially cloudy,47
3/20/2024,"Rain, Partially cloudy",41
3/21/2024,"Rain, Partially cloudy",32
3/22/2024,"Rain, Partially cloudy",35
3/23/2024,Rain,31
3/24/2024,Clear,31
3/25/2024,"Rain, Partially cloudy",29
3/26/2024,"Rain, Partially cloudy",45
3/27/2024,"Rain, Partially cloudy",63
3/28/2024,"Rain, Partially cloudy",40
3/29/2024,Clear,62
3/30/2024,Partially cloudy,39
3/31/2024,Partially cloudy,18
4/1/2024,Partially cloudy,50
4/2/2024,Partially cloudy,51
4/3/2024,Partially cloudy,62
4/4/2024,Partially cloudy,87
4/5/2024,Partially cloudy,62
4/6/2024,Partially cloudy,50
4/7/2024,"Rain, Partially cloudy",19
4/8/2024,"Rain, Partially cloudy",24
4/9/2024,Partially cloudy,23
4/10/2024,Partially cloudy,21
4/11/2024,Partially cloudy,22
4/12/2024,Clear,27
4/13/2024,Partially cloudy,26
4/14/2024,Clear,23
4/15/2024,Clear,45
4/16/2024,Partially cloudy,44
4/17/2024,Partially cloudy,50
4/18/2024,Partially cloudy,42
4/19/2024,"Rain, Partially cloudy",49
4/20/2024,"Rain, Partially cloudy",29
4/21/2024,"Rain, Partially cloudy",32
4/22/2024,Partially cloudy,45
4/23/2024,"Rain, Partially cloudy",39
4/24/2024,Partially cloudy,47
4/25/2024,Partially cloudy,41
4/26/2024,Partially cloudy,50
4/27/2024,Partially cloudy,27
4/28/2024,"Rain, Partially cloudy",20
4/29/2024,Partially cloudy,33
4/30/2024,"Rain, Partially cloudy",34
5/1/2024,"Rain, Partially cloudy",24
5/2/2024,"Rain, Partially cloudy",39
5/3/2024,"Rain, Partially cloudy",47
5/4/2024,"Rain, Partially cloudy",32
5/5/2024,"Rain, Partially cloudy",29
5/6/2024,Clear,51
5/7/2024,Clear,53
5/8/2024,Partially cloudy,42
5/9/2024,Partially cloudy,27
5/10/2024,Partially cloudy,34
5/11/2024,"Rain, Partially cloudy",38
5/12/2024,"Rain, Partially cloudy",33
5/13/2024,"Rain, Partially cloudy",42
5/14/2024,"Rain, Partially cloudy",39
5/15/2024,Partially cloudy,54
5/16/2024,Partially cloudy,35
